name,sector,categories,tags,scope,date,resources,description,countries,actors
AV Code of Practice,Autonomous mobility,Self-regulation,,National,6/1/2016 0:00,"<a target=""_blank"" href=""http://www.austriatech.at/files/get/ff2b99d60657b228a4c176ed11d6dfa3/codeofpractice_20160607_endfassung.pdf"">AV Code of Practice</a>","In addition to the Regulation on Autonomous Driving, the Federal Ministry for Transport, Innovation and Technology has also created a code of practice for testing automated vehicles. <br>When submitting an application, testing companies will disclose whether they have read all the requirements of the Code of Practice and they volunteer to comply with these requirements. The provisions of the Code of Practice are not legally binding but are intended to promote responsible testing. The Code of Practice guidelines are intended to serve as a supplementary guide to testing organizations in addition to regulatory requirements. <br>The Code of Practice contains guidelines for generally observed safety requirements and behavioural instructions during and before the test drives, requirements for the test drivers, permissions as well as minimum technical requirements for the test vehicles.",Austria,"Federal Ministry for Transport, Innovation and Technology"
Responsible AI and Robotics,AI in general,Ethics guidelines,Liability; Transparency; Bias; Data protection;,National,10/1/2017 0:00,"<a target=""_blank"" href=""https://www.accenture.com/gb-en/company-responsible-ai-robotics"">Accenture report</a>","Accenture’s ethical framework highlights the importance of predictability and trust, which are seen as interrelated factors necessary for AI’s success. It underlines the role of developing flexible and robust legal frameworks, however, Accenture’s view is that such frameworks must be accompanied by an ethical code, developed collaboratively by the government, business, academia and society more widely. Such a code must provide guidance on 7 key ethical challenges:<br>[ul]<br><li>Decision making and liability - who is liable when systems make mistakes?</li><br><li>Transparency - when must AI systems (not) explain their actions to humans?</li><br><li>Bias - stop systemic bias and promote core values of equality, diversity and lack of discrimination</li><br><li>Alignment with human values - what should AI’s core ethical values be?</li><br><li>Data protection & IP - how to balance data protection with the promotion of innovation?</li><br><li>Social dislocation - what obligations do AI deployers have to mitigate the resulting social consequences?</li><br><li>Cybersecurity - ensure strong protection against hacking.</li><br>[/ul]<br>Accenture identifies 5 areas where such a code should apply: <br>[ul]<br><li>Autonomous vehicles</li><br><li>Healthcare</li><br><li>Finance</li><br><li>Energy</li><br><li>Defence</li><br>[/ul]<br>The framework proposes the establishment of an AI Advisory Body to issue guidance to industry and regulators. In collaboration with key stakeholders, core ethical principles should be developed, along with sector-specific codes for the above-identified 5 areas.",United Kingdom,Accenture
Montreal Declaration on Responsible AI,AI in general,Declaration,Well-being; Autonomy; Privacy; Solidarity; Intimacy; Literacy; Bias; Sustainability; Participation; Equity; Diversity; Responsibility;,International - Global,11/1/2018 0:00,"<a target=""_blank"" href=""https://www.montrealdeclaration-responsibleai.com/the-declaration"">Montreal Declaration</a><br><a target=""_blank"" href=""https://docs.wixstatic.com/ugd/ebc3a3_c5c1c196fc164756afb92466c081d7ae.pdf"">Text</a>","The Montreal Declaration proposes an ethical framework for the development and deployment of AI. It is meant to guide the digital transition for the benefit of all, and to open a national and international dialogue. Its 10 principles are abstract, non-hierarchical and require appropriate interpretation in particular circumstances. Although they are formulated as ethical principles, they may easily be translated into legal norms. The Declaration is intended for anyone engaging with AI in any capacity, including scientists, technologists and political representatives. <br>The Declaration came about through a deliberative process that started with a forum in November 2017 followed by a stage of gathering expert and public input through workshops, panels, citizens’ meetings and online commentary. It is to be viewed as an evolving open guidance document and its current state represents the starting point “for an open and inclusive conversation surrounding the future of humanity being served by artificial intelligence technologies.” <br>Some of the demands outlined in the Declaration formulate requirements that technological systems or their developers must meet, while others put forward expectations against society, such as digital literacy, which must be supported and enabled by governance mechanisms. <br>Members of the public are invited to sign the Declaration online as an expression of their support of its principles. <br><ol><br><li><strong>Well-being Principle</strong> - “the development and use of artificial intelligence systems (AIS) must permit the growth of the well-being of all sentient beings.” </li><br><li><strong>Respect for Autonomy Principle </strong>- “AIS must be developed and used while respecting people’s autonomy, and with the goal of increasing people’s control over their lives and their surroundings.” This includes the prohibition of using AIs to suppress certain conceptions of the good life and subjecting people to oppressive regimes of surveillance, classification and incentivization. Furthermore, AIs must not be used to spread misinformation or create confusion between humans and AIs.</li><br><li><strong>Protection of Privacy and Intimacy Principle - </strong>introduces the notion of “data acquisition and archiving systems” and states that privacy and intimacy must be protected from intrusion by such systems. Protection extends to personal spaces and to the intimacy of thoughts and emotions. The Declaration states that people’s right to disconnect digitally must be guaranteed. It calls for people’s right to maintain extensive control over information regarding their preferences and to not be subject to influence based on profiling, without consent. In addition, confidentiality and profile anonymity must be guaranteed. Importantly, access to AIS services must not be conditional on giving up control over personal data, and individuals should be free to donate their data for research purposes.</li><br><li><strong>Solidarity Principle</strong> - “the development of AIS must be compatible with maintaining the bonds of solidarity among people and generations.” AIS should support human collaboration and foster human relationships. Health care applications must especially consider the patients’ relationships to relatives and the care team. AIS should foster societal conditions with a more equitable distribution of individual and collective risks.</li><br><li><strong>Democratic Participation Principle </strong>- “AIS must meet intelligibility, justifiability, and accessibility criteria, and must be subjected to democratic scrutiny, debate, and control.” This Principle includes transparency and understandability requirements for situations when AIS make decisions affecting individuals’ life, quality of life, or reputation. It also calls for the source code of algorithms, public and private, to be available to public authorities and stakeholders for verification. Errors and breaches must be reported to authorities and those affected. The Principle requires that citizens be in a position to deliberate on the objectives and limits of AI systems. Individuals must also always be aware whether they are interacting with an AIS and whether a decision about them has been made by an AIS. </li><br><li><strong>Equity Principle </strong>- “The development and use of AIS must contribute to the creation of a just and equitable society.”  AIS must be free of bias, help eliminate relationships of domination between groups of people, and produce social and economic benefits for all. The Principle extends to requiring acceptable working conditions across the entire life cycle of an AIS, from natural resource extraction to data processing. In addition, the activity of AIS users generating data should be recognized as labour. The development and use of ‘commons algorithms’ and open data should be supported. </li><br><li><strong>Diversity Inclusion Principle </strong>- “The development and use of AIS must be compatible with maintaining social and cultural diversity and must not restrict the scope of lifestyle choices or personal experiences.” The principle calls for broad inclusion of social diversity in the conceptualisation, development and deployment of algorithms, as well as in their environments of development. AIS must not be used to lock individuals into certain data-derived profiles restricting their personal development or to limit expressions of free expression. AIS offerings must be diversified in each service category to avoid the formation of monopolies. </li><br><li><strong>Prudence Principle</strong> - “Every person involved in AI development must exercise caution by anticipating, as far as possible, the adverse consequences of AIS use and by taking the appropriate measures to avoid them.” Especially, mechanisms to monitor dual-use potential must be developed, and open access to applications with a high probability of causing public harms must be restricted. Extensive evaluation measures should be undertaken prior to marketing, and the testing should be open to public authorities and stakeholders. </li><br><li><strong><strong>Responsibility Principle</strong></strong><strong> - </strong>“The development and use of AIS must not contribute to lessen the responsibility of human beings when decisions must be made.” Humans remain responsible for decisions made by AIS, and in cases where someone’s life, quality of life or reputation are at stake, humans should make informed decisions instead of AIs. Lethal decisions must always be made by humans and can’t be delegated. When harms occur from AIS that are reliable and used as intended, blame should not be placed on its developers. </li><br><li>Sustainable Development Principle - “The development and use of AIS must be carried out so as to ensure strong environmental sustainability of the planet.” Strong environmental sustainability does not allow the substitution of the loss of natural resources with artificial capital, such as carbon trading. The Principle requires that all digital infrastructure operate at maximum energy efficiency to reduce greenhouse gas emissions, that they generate the least amount of waste, and reduce their impact on the ecosystem and biodiversity from resource extraction to disposal.</li><br></ol>",Global,University of Montreal
National Strategy for AI - Discussion Document,AI in general,Strategy,"Bias, Fairness; Labour market impacts; Privacy;",National,6/1/2018 0:00,"<a target=""_blank"" href=""http://www.niti.gov.in/writereaddata/files/document_publication/NationalStrategy-for-AI-Discussion-Paper.pdf"">Strategy document</a><br><a target=""_blank"" href=""https://cis-india.org/internet-governance/files/niti-aayog-discussion-paper"">Centre for Internet and Society analysis</a>","In the fiscal year, 2018-19 India is launching a National Program on AI to guide R&D in this domain. The National Institution for Transforming India is pursuing multiple activities around AI, which include working towards a national strategy, running proof-of-concept studies in critical areas like health and agriculture, and collaborating with experts and stakeholders. The two latter activities support the creation of a national strategy, about which a first discussion paper was released in June 2018. <br>The document is meant to lay the groundwork for an evolving strategy and puts forward the #AIforAll brand, which seeks to position India as a global leader in the field. The brand suggests an inclusive approach, in line with the country’s development goals. AI is viewed as a ‘once-in-a-generation’ opportunity, the benefits of which should extend beyond financial impact and support the greater good. The report suggests that India may be an ideal ‘playground’ for global enterprises to develop scalable solutions for the rest of the world’s developing and emerging economies. These regions share a commonality of issues that need to be solved, hence, ‘Solved in India’ could act as a seal of approval and become a model for developing AI as a Service for other economies.  The report thus proposes making India an ‘AI Garage for 40% of the world’.<br>The document focuses on 5 key sectors where AI could bring the greatest societal benefit:<br>[ul]<br><li>Healthcare;</li><br><li>Agriculture;</li><br><li>Education;</li><br><li>Smart cities and infrastructure;</li><br><li>Smart mobility and transportation.</li><br>[/ul]<br>In addition, cross-cutting barriers are also identified, which could hinder AI deployment at scale, and thus call for an integrated approach:<br>[ul]<br><li>Lack of enabling data ecosystems;</li><br><li>Low intensity of AI research, both core and applied;</li><br><li>Inadequate availability of AI expertise;</li><br><li>High resource cost and low awareness of adopting AI;</li><br><li>Unclear privacy, security and ethical regulations;</li><br><li>Unattractive IP regime.</li><br>[/ul]<br>Recommendations to address these barriers are put forward in 4 categories:<br>[ul]<br><li>Research;</li><br><li>Skilling for the AI age;</li><br><li>Accelerating adoption;</li><br><li>Ethics, privacy and security.</li><br>[/ul]<br>With regard to research, a two-tiered structure is proposed to address the fact AI research in India is still in its infancy:<br>[ul]<br><li>Establishing Centres of Research Excellence (CORE) dedicated to core research;</li><br><li>Establishing International Centers of Transformational AI (ICTAI) to develop and deploy application-based research in collaboration with the private sector.</li><br>[/ul]<br>COREs would focus on basic research and act as ‘technology feeders’ to ICTAIs, dedicated to creating AI-based applications and accelerating adoption in key domains.<br>In addition, it is suggested the Government of India should take the lead in bringing together parties to create ‘People’s AI’, an initiative similar in scale and scope to that of CERN. However, unlike CERN, such a centre would not need a physical location and could be distributed across the world, with India acting as the initial funding and coordinating agency. The centre’s mandate should be to focus on cross-cutting, foundational issues that can make AI inclusive, such as General Artificial Intelligence; explainable AI; advanced anonymisation protocols; ethics in AI; and leveraging AI in the service of the world’s biggest problems in health, education, agriculture, etc. <br>With regard to the skills shortage, the document proposes a set of interventions for students and another set aimed at the workforce.<br>Measures should be taken incentivise job creation in the new service industry, ideally, roles that are part of the AI solution development value chain but require low levels of expertise, such as data annotation, image classification, speech transcription, etc. These can provide employment at scale. In addition, the quality of informal training institutions that offer to reskill workers into technology-related professions should be standardised. Open online platforms for self-learning - similar to Coursera and edX - should also be created and their offerings standardised through certification and quality measurement. Finally, models for co-funding reskilling by government and companies should be explored. This may take multiple forms, such as income tax deductions, special taxes to be paid if a training budget is not distributed, or grants subsidizing training. <br>The interventions addressing students are broad and encompass basic reforms to the whole of the Indian education system, including the introduction of skill-based learning in subjects relevant to AI, increasing the amount of project related work across education levels, and increasing collaboration between industry and academia. To address the lack of qualified faculty, credit-bearing MOOCs and other decentralised teaching mechanisms should be explored. Bridge courses at the postgraduate level should be established for non-computer science students who have other domain expertise. <br>Establishing a task force to monitor changes in employment caused by AI in India is suggested as a solution for creating a longer-term, sustainable framework.<br>The document describes how India is lagging in AI adoption, despite its strong presence in the IT industry. Therefore, government involvement seems necessary to promote AI adoption. This extends to private enterprises, public sector undertakings and the government itself. Several recommendations are advanced to address this issue.<br><ol><br><li>A decentralised, blockchain-based multi-stakeholder National AI Marketplace (NAIM) is proposed, that would allow businesses to offer various parts of the AI value chain as a stand-alone service, from data capture to the deployment of solutions. It is hoped that such a marketplace could level the playing field and address information asymmetry while incentivising and simplifying collaboration between the various stakeholders in the AI ecosystem. According to the report, all businesses, government agencies, startups, and research institutions would sign up to the marketplace and engage in their respective activities. Its 3 elements would be a data marketplace, a data annotation marketplace and a deployable model/solutions marketplace. The government doesn’t intend to build such marketplaces itself, rather, to create enabling regulations for private players to do so. This would entail creating standards for personal data use, anonymisation, annotation accuracy and cybersecurity. </li><br><li>The government could assist the creation of large annotated national datasets to spur research and innovation. </li><br><li>Partnerships and collaboration should be supported, especially collaboration between research organisations (AI+X), where AI researchers work with other domain experts, as well as collaborations between research and industry, trade bodies, and venture capital. </li><br><li>Low visibility of AI research and its benefits is a hurdle, which could be overcome by a government managed online AI Database with information about existing projects, networks and results, as well as expert profiles. In addition, efforts at spreading awareness among government agencies and the public sector are also recommended.</li><br><li>Supporting AI startups through dedicated incubation hubs in collaboration with State Governments and private sector stakeholders, and establishing a fund to provide grants to startups.</li><br></ol><br>With regard to ethics, security and privacy, the document discusses several issues. On fairness and biases, it suggests a reactive approach, identifying biases built into systems and assessing their impacts in order to reduce them, until techniques are developed to create neutral solutions. The strategy acknowledges the importance of the issues around transparency and suggests aiming at explainability, which must be balanced against the risk of attempts at ‘gaming the system’. On privacy, the strategy takes the position that the main worry about companies harvesting large amounts of consumer data and deriving insights is that consumers themselves don’t have access to such insights or derive value from them. Therefore, it suggests that beyond compliance “companies can consider how to create awareness of how they use consumer information and the value they provide in return, which can build trust in their brand and services.” However, the authors of the strategy disagree with concerns that companies with large datasets could build an unfair competitive advantage and they see no negative impact on the consumer.<br>In order to deal with privacy issues a number of concrete recommendations are made:<br>[ul]<br><li>Establish a data protection framework with legal backing. The report references the core principles of the proposed Srikishna Committee data protection law: informed consent, technology agnosticism, data controller accountability, data minimisation, holistic application, deterrent penalties and structured enforcement;</li><br><li>Establish sectoral regulatory frameworks;</li><br><li>Benchmark Indian data protection and privacy laws with European standards like the GDPR;</li><br><li>Encourage Indian enterprises to adopt international standards like those of the IEEE;</li><br><li>Encourage self-regulation and the use of Data Privacy Impact Assessment Tools;</li><br><li>Invest in research to find new mathematical models for preserving privacy;</li><br><li>Make citizens aware of their right to privacy, which has been termed a fundamental right by the Supreme Court of India.</li><br>[/ul]<br>The report considers security and accountability to be linked issues and suggests a framework to handle it. The framework would rely on self-regulation of stakeholders to conduct damage impact assessments at every stage of development, and use negligence tests for damages caused by AI. Liability would be limited if appropriate steps to design, test, monitor and improve products had been taken. <br>It is suggested that a consortium of Ethics Councils be set up at each Centre of Excellence to define standards of practice. <br>Finally, inspired by the UK’s Centre for Data Ethics and Innovation, the document advises the Indian Government to set up a Centre for Studies on Technological Sustainability (CSTS) to address issues relating to ethics, privacy, legal aspects, social sustainability and global competitiveness.<br>The document provides no roadmap towards implementation, nor details about the budgetary requirements of the proposed recommendations.",India,National Institution for Transforming India (NITI Aayog)
Pan-Canadian AI Strategy,AI in general,Strategy,,National,3/1/2017 0:00,"<a target=""_blank"" href=""https://www.cifar.ca/ai/pan-canadian-artificial-intelligence-strategy"">Pan-Canadian Artificial Intelligence Strategy</a>","Canada was the first country to announce a national strategy for artificial intelligence, along with a CAN$125m investment over a 5-year period. The effort is led by the Canadian Institute for Advanced Research, which has a long track record of pursuing AI-related research. CIFAR's Learning in Machines and Brains Program launched in 2004 was initially led by Geoff Hinton, who is widely considered one of the fathers of modern deep learning.<br>The strategy is executed in partnership with 3 AI institutes, the Alberta Machine Intelligence Institute (AMII) in Edmonton, the Montreal Institute for Learning Algorithms (MILA) and the <a target=""_blank"" href=""https://vectorinstitute.ai/"">Vector Institute</a> in Toronto.<br>The strategy identified 4 main goals:<br>[ul]<br><li>Increase the number of outstanding artificial intelligence researchers and skilled graduates;</li><br><li>Establish interconnected nodes of scientific excellence in the three partnering AI institutes;</li><br><li>Develop global thought leadership on the economic, ethical, policy and legal implications of advances in AI;</li><br><li>Support a national research community on AI.</li><br>[/ul]<br>Over the 5-year period of the initial funding, CIFAR will collaborate with the Canadian research community to enhance Canada’s international profile in research and training, achieve productivity gains in academic research on AI and an increased capacity to generate leading research and innovation, while increasing collaboration across Canada’s AI research centres. Furthermore, it is expected that the strategy will help to attract and retain outstanding AI talent in Canada, as well as to translate AI research into socio-economic benefit through both private and public sector applications. <br> <br>In addition, the strategy supports policy-relevant working groups to examine the implications of AI and inform policy-makers.<br>The Canadian federal government’s investment in the strategy has led to investment from other levels of government and from the private sector.",Canada,Canadian Institute for Advanced Research
Directive on the Use of Machine Learning for Decision-Making,Automated Decision Systems,Directive,Accountability; Bias; Transparency; Fairness,National,2/1/2019 0:00,"<a target=""_blank"" href=""Draft Directive"">Draft Directive</a><br><a target=""_blank"" href=""https://canada-ca.github.io/digital-playbook-guide-numerique/views-vues/automated-decision-automatise/en/algorithmic-impact-assessment.html"">AIA questionnaire draft 0.2</a><br><a target=""_blank"" href=""https://medium.com/@supergovernance/a-canadian-algorithmic-impact-assessment-128a2b2e7f85"">A Canadian Algorithmic Impact Assessment</a><br><a target=""_blank"" href=""https://medium.com/@supergovernance/the-government-of-canadas-algorithmic-impact-assessment-take-two-8a22a87acf6f"">The Government of Canada’s Algorithmic Impact Assessment: Take Two</a>","The Directive will cover rules related to the automation of administrative decision processes in federal government institutions. It will apply to any Automated Decision System (ADS) developed or procured after 1 April 2020 and will be reviewed every 6 months once in effect on the 4th of February 2019. <br>The Directive is expected to ensure that government departments make decisions in a way that is data-driven, responsible, and in accord with the requirements of procedural fairness and due process. Negative outcomes are to be reduced by assessing the impacts of algorithms on administrative decisions, and where possible, data about the use of ADSs are to be made publicly available. <br>The responsible person at the relevant government program using an ADS is required to undertake an Algorithmic Impact Assessment (AIA). This takes the form of a questionnaire, which is meant to help institutions understand and reduce the risks of ADSs. It uses a 4-level classification to rank the impacts of the decision on individuals’ fundamental rights, the health and well-being of individuals and communities, the economic interests of those affected, as well as on the ongoing sustainability of the ecosystem. Depending on which classification a system falls under, different peer review, notice, human-in-the-loop, explanation, testing, contingency planning and approval requirements must be adhered to. However, irrespective of the classification level, the same training and monitoring requirements apply. These state that before any ADS goes into production, processes must be in place to ensure that the training data is not biased and that the data used by the ADS is routinely tested to guarantee that it remains relevant, accurate and up-to-date. In addition, the systems’ use must be monitored for unintended outcomes and for compliance with legislation and the Directive. <br>Whenever possible, open source solutions should be used. If using a proprietary license the Government of Canada has the right to access and test the system, including the right to have third parties audit the ADS. Unless overriding reasons, such as national security, make it impossible, the ADS’ source code should be made publicly available.",Canada,Government of Canada
International Panel on Artificial Intelligence,AI in general,Partnership ; International agreement,Trust; Privacy; Labour market effects; Justice; Responsibility,International - Bilateral,6/7/2018 0:00,"<a target=""_blank"" href=""https://pm.gc.ca/eng/news/2018/12/06/mandate-international-panel-artificial-intelligence"">Mandate for the International Panel on Artificial Intelligence</a>","The aim of the International Panel is to “support and guide the responsible adoption of AI that is human-centric and grounded in human rights, inclusion, diversity, innovation and economic growth.” The effort builds on the partnership of the French and Canadian governments to collaborate on promoting human-centric AI. It will support international collaboration between researchers, industry and civil society actors, as well as governments and international organizations. The Panel will seek to fulfil a role similar to that of the Intergovernmental Panel on Climate Change and will study the impacts of AI on a global scale. The group would monitor work being done on AI around the world and issue reports to guide policy making.",France; Canada,Government of Canada ; Government of France
Three-Year Action Plan for Promoting Development of a New Generation Artificial Intelligence Industry (2018–2020),AI in general,Action plan,,National,12/1/2017 0:00,"<a target=""_blank"" href=""https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-government-outlines-ai-ambitions-through-2020"">Translation of the action plan at the New America think tank</a>","The plan lays out China's ambitious goals with regard to AI focusing in particular on 4 key initiatives. 
First, it seeks to support and R&D of critical technologies and innovative product and services development, with a special
emphasis on intelligent and connected vehicles (ICV).
Second, it seeks to support R&D in intelligent sensors to advance low-cost, high-precision sensing technologies. 
Third, there is an emphasis on smart manufacturing.
The fourth initiative covers the infrastructure that needs to be in place to support an advanced AI support ecosystem, 
especially emhpasising the role of standards.",China,Ministry of Industry and Information Technology
Toronto Declaration,AI in general,Declaration,Equality; Fairness; Bias; Transparency; Accountability; Non-discrimination;,International - Global,5/1/2018 0:00,"<a target=""_blank"" href=""https://www.accessnow.org/cms/assets/uploads/2018/08/The-Toronto-Declaration_ENG_08-2018.pdf"">Text of the Toronto Declaration</a>","The Declaration was published on 16 May 2018 by Amnesty International and Access Now, and launched at RightsCon 2018 in Toronto, Canada. Since then, Human Rights Watch and the Wikimedia Foundation have also endorsed it.<br>The Declaration underlines the importance of relying on the framework of existing human rights laws and standards to guard individuals and communities against intentional or inadvertent discrimination arising from the use of machine learning systems. It calls on states and private entities to respect human rights at all times, and to have binding measures to uphold and protect these rights. Human rights law is a body of universally binding and actionable measures that is well suited to guide borderless technologies like AI and to ensure accountability. Importantly, a human rights framework includes mechanisms for holding actors accountable and obtaining redress when a person’s rights have been violated. <br>Public and private entities must work to prevent and mitigate the risk of discrimination from the design phase of an application through to its deployment. Inclusion and diversity in terms of race, culture, gender, religion and socio-economic backgrounds is essential to ensure non-discrimination and to eliminate biases. <br>States have a particular obligation to uphold and protect human rights through binding legal instruments. States must have updated measures to guard against discrimination and other rights-harms arising from machine learning and provide meaningful redress of harms. <br>Specifically, state actors must take steps with regard to their own use of machine learning: <br>[ul]<br><li>to identify risks of discrimination and other rights-harms that might arise from machine learning systems. This extends throughout the technology’s entire life cycle. They must conduct regular impact assessments and prepare measures to mitigate the risks identified through such an assessment. Systems must be subjected to regular independent review and testing for bias, and any known limitations of systems must be disclosed. </li><br><li>To ensure and require transparency and accountability, allowing for public scrutiny of the impact of the machine learning systems. They must publicly disclose their use of ML systems, explaining the mechanisms of decision-making and allowing independent analysis of their algorithms</li><br><li>To enforce oversight by including diverse perspective in the design, implementation and review of ML systems, as well as training providing human rights and data analysis training to those involved in their procurement, development and review. ML-supported decisions must meet international norms on due process.</li><br>[/ul]<br>When procuring ML systems from private entities, state authorities must maintain their oversight and ensure third-party audit for human rights due diligence. <br>Finally, states should craft regulations and standards to prevent private entities from using ML in ways that are discriminatory or cause other rights-harms. <br>The Declaration also articulates the responsibilities of private sector actors. First and foremost, they should follow a human rights due diligence framework, making sure that they don’t cause or contribute to any human rights violations. Similar to state authorities, private actors must work to identify any risks associated with their use of an ML system, work to mitigate those risks and be transparent about their efforts. Where the risks of discrimination or other human rights violations are impossible to mitigate, they should refrain from deploying the technology. <br>The provision of effective remedies against violations is a fundamental element of the human rights framework that applies to both state and private sector actors. Particular care should be taken when using ML-based systems in the justice sector, as this might affect individuals’ ability to seek effective remedy. Clear lines of accountability must be defined outlining who is legally responsible for decisions made with the help of ML systems.",Global,Amnesty International ; Access Now
10 principles for public sector use of algorithmic decision making,Automated Decision Systems,Proposal,Bias; Impact assessment; Accountability; Transparency; Redress; Testing/Sandboxes,National,2/1/2018 0:00,"<a target=""_blank"" href=""https://www.nesta.org.uk/blog/10-principles-for-public-sector-use-of-algorithmic-decision-making/"">Article</a><br><a target=""_blank"" href=""https://docs.google.com/document/d/192Kcf-w64pp9n9b46hGCiaTw7tDN6yZgsjXTJYTJiAw/edit"">Text draft for commentary</a>","In response to the growing prominence and critical nature of using automated decision systems in the delivery of government services, this proposal formulates 10 broad principles for a Code of Standards for Public Sector Algorithmic Decision Making.<br><ol><br><li>“Every algorithm used by a public sector organisation should be accompanied with a description of its function, objectives and intended impact, made available to those who use it.”</li><br><li>“Public sector organisations should publish details describing the data on which an algorithm was (or is continuously) trained, and the assumptions used in its creation, together with a risk assessment for mitigating potential biases.”</li><br><li>“Algorithms should be categorised on an Algorithmic Risk Scale of 1-5, with 5 referring to those whose impact on an individual could be very high, and 1 being very minor.”</li><br><li>“A list of all the inputs used by an algorithm to make a decision should be published.”</li><br><li>“Citizens must be informed when their treatment has been informed wholly or in part by an algorithm.”</li><br><li>“Every algorithm should have an identical sandbox version for auditors to test the impact of different input conditions.”</li><br><li>“When using third parties to create or run algorithms on their behalf, public sector organisations should only procure from organisations able to meet Principles 1-6.“</li><br><li>“A named member of senior staff (or their job role) should be held formally responsible for any actions taken as a result of an algorithmic decision.”</li><br><li>“Public sector organisations wishing to adopt algorithmic decision making in high risk areas should sign up to a dedicated insurance scheme that provides compensation to individuals negatively impacted by a mistaken decision made by an algorithm.”</li><br><li>“Public sector organisations should commit to evaluating the impact of the algorithms they use in decision making, and publishing the results.”</li><br></ol>",United Kingdom,Nesta
Sony Group AI Ethics Guidelines,AI in general,Self-regulation,Trust; Privacy; Fairness; Diversity; Transparency;,International - Global,9/1/2018 0:00,"<a target=""_blank"" href=""https://www.sony.net/SonyInfo/csr_report/humanrights/hkrfmg0000007rtj-att/AI_Engagement_within_Sony_Group.pdf"">Sony AI Guidelines</a>","The guidelines formulate 7 principles to which all Sony officers and employees who use AI must adhere to. This includes AI in products or services provided to customers, as well as any internal use of AI-based tools and processes. <br><ol><br><li>Supporting Creative Life Styles and Building a Better Society - Sony’s AI-related work should empower individuals to unfold their potential and to enrich the culture and life of society through creating new types of emotionally moving experiences.</li><br><li>Stakeholder Engagement - Sony will engage with various stakeholders and consider their viewpoints and interest when developing AI-related tools or services.</li><br><li>Provision of Trusted Products and Services</li><br><li>Privacy Protection - Sony will ensure that personal data gathered through AI-based services will be used in ways that respect customers trust and intention and adhere to laws and regulations.</li><br><li>Respect for Fairness - Sony will respect diversity and human rights in its utilisation of AI and will try to work towards the resolution of social problems. </li><br><li>Pursuit of Transparency - Sony will strive to capture the decisions that inform the design of AI products and will seek to provide explanations about the possible impacts on customers.</li><br><li>The Evolution of AI and Ongoing Education - Sony will consider the broad-ranging implications of AI on society and will work for the betterment of society through such new technologies.</li><br></ol>",Global,Sony
Data Ethics Framework,Data governance,Ethics guidelines,Accountability; Transparency; Privacy; Bias; Public sector data;,National,6/1/2018 0:00,"<a target=""_blank"" href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/737137/Data_Ethics_Framework.pdf"">Data Ethics Framework</a><br><a target=""_blank"" href=""https://www.gov.uk/government/publications/data-ethics-workbook"">Data Ethics Workbook</a>","The Data Ethics Framework offers guidance on the use of data in the UK Government and the public sector. It replaces the previous Data Science Ethical Framework. Building on the core values of integrity, honesty, objectivity and impartiality defined by the Civil Service Code, the Data Ethics Framework lays out 7 principles for public servants working with data to act appropriately. The Framework also includes a workbook, which contains a set of questions in relation to each principle in order to help articulate the details of any planned data use and to mitigate potential risks. A separate workbook with additional questions is available for working with suppliers.<br><br>The Data Ethics Framework’s 7 principles are:<br><br><ol><br><li>Start with clear user need and public benefit</li><br><li>Be aware of relevant legislation and codes of practice</li><br><li>Use data that is proportionate to the user need</li><br><li>Understand the limitations of the data</li><br><li>Use robust practices and work within your skillset</li><br><li>Make your work transparent and be accountable</li><br><li>Embed data use responsibly</li><br></ol>",United Kingdom,"Department for Digital, Culture, Media & Sport"
